country,Purchasing Power Value,Safety Value,Health Care Value,Climate Value,Cost of Living Value,Property Price to Income Value,Traffic Commute Time Value,Pollution Value
Afghanistan,32.15,25.33,24.24,0,21.08,7.8,56.17,84.44
Aland Islands,125.01,71.81,79.72,0,53.44,5.33,19.05,18.05
Albania,42.82,55.52,48.21,86.43,40.85,14.88,36.74,77.25
Alderney,0,83.79,100,0,0,0,5,1.72
Algeria,27.6,47.54,54.43,94.82,25.31,21.7,45.09,63.87
American Samoa,0,54.41,0,0,0,0,100,78.45
Andorra,121.14,84.71,75.56,0,48.09,9.03,13.33,22.98
Angola,224.46,33.71,36.58,0,42.57,8.01,65.43,92.07
Anguilla,0,75.44,77.08,0,0,1.84,0,0
Antigua And Barbuda,0,42.86,30.56,0,0,0,35,43.1
Argentina,40.36,36.36,68,98.28,32.65,20.05,44.07,50.81
Armenia,36.91,77.81,58.07,63.42,41.84,20.95,29.31,62.55
Aruba,71.46,69.23,78.7,0,79.42,5.32,46.33,35.7
Australia,137.58,52.71,73.35,93.8,64.5,8.25,37.48,26.8
Austria,109.08,70.38,77.83,77.4,62.22,11.76,23.77,20.73
Azerbaijan,41.75,68.12,48.31,91.4,30.26,15.24,40.63,72.69
Bahamas,58.59,43.76,39.52,0,81.3,5.32,27.69,61.34
Bahrain,114.56,75.28,66.6,64.31,48.79,4.9,30.74,71.57
Bangladesh,36.16,38.79,42.2,71.29,20.76,12.26,57.57,85.31
Barbados,46.93,55.14,71.88,0,70.6,14.67,36.67,24.39
Belarus,56.24,49.99,48.5,64.37,25.11,12.79,31.2,44.94
Belgium,118.62,50.42,75.76,86.03,57.41,6.82,35.19,49.45
Belize,0,47.47,47.37,0,0,6.06,12.75,52.8
Benin,0,62.16,51.39,0,0,0,26,97.41
Bermuda,108.79,63.7,70.61,0,124.77,6.85,35.7,14.95
Bhutan,74.38,70.45,73.28,0,24.92,14.07,2.95,48.82
Bolivia,43.04,35,45.98,0,25.28,12.54,39.94,71.92
Bonaire,0,62.95,0,0,0,0,0,0
Bosnia And Herzegovina,63.66,58.3,55.62,80.48,32.01,13.12,26.15,59.68
Botswana,64.6,47.3,61.12,88.87,40.05,118.01,28.53,46.09
Brazil,42.13,35.36,59.21,94.31,27.14,15.4,40.63,52.84
British Virgin Islands,0,59.31,0,0,0,0,0,68.1
Brunei,119.26,70.7,75.37,0,46.73,6.97,27.3,35.49
Bulgaria,77.66,63.73,58.15,82.76,35.86,9.22,29.05,62.94
Burkina Faso,0,61.16,49.31,0,0,1.25,50,0
Burundi,0,43.44,34.44,0,0,20.67,33,87.84
Cambodia,26.95,48.19,50.71,59.43,34.38,26.77,28,77.77
Cameroon,10.02,34.53,45.53,0,37.61,46.06,46,93.71
Canada,111.31,54.34,68.82,55.41,60.55,10.47,33.53,29.8
Cape Verde,18.09,49.87,67.71,0,38.51,17.12,15.33,81.03
Cayman Islands,123.25,69.25,62.28,0,108.7,8.64,18.89,23.96
Central African Republic,0,15.89,41.67,0,0,8.5,5,84.83
Chad,20.21,32.16,44.21,0,46.23,2.69,6,60.56
Chile,51.47,39.55,63.52,90.21,36.29,16.03,36.04,77.51
China,78.42,75.82,68.53,79.61,31.23,28.6,38.9,77.3
Colombia,36.19,39.14,68.44,96.69,25.48,17.98,47.15,62.47
Comoros,41.96,52.94,0,0,35.91,11.15,0,0
Cook Islands,0,69.08,0,0,0,0,0,8.62
Costa Rica,50.9,46.04,64.29,99.48,50.18,9.63,59.99,42.39
Croatia,83.85,74.54,64.66,89.23,43.23,12.45,25.79,31.1
Cuba,2.55,66.02,59.3,0,41.1,48,47.89,65.82
Curacao,0,46.19,50.35,0,0,0,17.5,55.46
Cyprus,84.66,66.9,57.13,90.87,50.99,8.06,23.59,54.99
Czech Republic,90.3,73.64,75.47,79.1,43.65,13.17,29.12,34.78
Democratic Republic of the Congo,25.51,36.16,25.69,0,50.85,37.22,75,83.22
Denmark,134.75,73.81,78.5,82.47,68.9,6.36,27.93,20.75
Djibouti,165.89,42.74,0,0,76.83,12.41,42.67,64.6
Dominica,32.92,46.42,36.57,0,50.36,0.64,0,20.69
Dominican Republic,31.82,39.4,58.26,67.82,34.75,16.89,40.69,72.8
Ecuador,45.93,37.57,75.39,94.51,30.28,12,37.68,59.05
Egypt,21.15,52.64,47.32,91.98,19.46,17.85,48.1,82.67
El Salvador,33.72,40.58,51.67,86.6,38.13,16,40.39,75.37
Equatorial Guinea,30.87,52.16,42.59,0,51.87,7.15,20.5,59.85
Eritrea,58.05,72.86,55.56,0,53.58,4.41,0,15.52
Estonia,83.91,76.37,75.93,64.28,50.4,11.27,21.57,17.02
Eswatini,64.57,56.45,61.11,0,24.22,2.82,31,32.07
Ethiopia,13.59,49.1,53.46,96.82,43.89,49.87,63.36,73.24
Falkland Islands,0,55.64,0,0,0,0,40,3.45
Faroe Islands,0,83.57,65.08,0,0,8.75,0,4.91
Fiji,57.77,43.44,48.18,71.89,33.42,6.51,40.93,53.44
Finland,126.13,73.57,77.57,58.87,60.04,8.16,25.56,11.83
France,111.7,44.56,77.78,89.71,59.48,10.55,34.72,43.56
French Guiana,0,36.87,55.56,0,0,8.04,27.5,37.3
French Polynesia,0,79.04,96.3,0,0,29.58,30,52.3
French Southern Territories,0,53.68,38.89,0,0,0,16,37.7
Gabon,20.07,39.86,31.48,0,48.7,69.71,16.35,76.47
Gambia,7.25,40.88,66.67,0,27.72,103.29,65,61.67
Georgia,40.6,73.9,56.34,88.53,32,12.21,38.63,67.54
Germany,130.01,60.77,71.97,83.3,59.56,9.12,29.82,28.81
Ghana,17.4,54.65,57.38,67.03,30.49,81.28,39.67,86.91
Gibraltar,103.02,79.77,67.13,0,59.05,16,16.2,61.64
Greece,59.69,53.44,58.2,91.79,47.78,12.72,33.53,50.07
Greenland,139.14,62.16,51.39,0,83.09,4.75,34.59,77.11
Grenada,31.88,75.07,65.28,0,75.44,175.23,40,49.18
Guadeloupe,120.6,72.18,93.06,0,57.98,9.65,0,75.86
Guam,0,36.34,36.19,0,0,0,30,51.83
Guatemala,40.26,41.92,67.33,99.89,36.67,11.44,50.58,73.47
Guernsey,142.95,76.14,61.11,0,66.48,9.66,16.25,11.49
Guinea,0,39.95,100,0,0,0.68,0,106.67
Guinea-Bissau,76.11,48.18,51.39,0,39.6,7.13,20,0
Guyana,35,33.65,37.65,0,44.46,19.72,52,60.09
Haiti,77.7,21.41,32.72,0,51.39,5.5,80.67,94.3
Honduras,43.68,27.75,37.83,0,34.39,6.36,19.7,75.52
Hong Kong (China),108.13,78.49,66.06,83.64,74.59,29.83,41.81,66.86
Hungary,70.34,66.28,54.07,78.74,37.72,13.22,35.68,46.57
Iceland,126.81,74.26,67.63,68.81,81.71,6.39,21.35,15.84
India,86.09,55.67,65.43,64.1,19.93,11.26,46.54,72.89
Indonesia,33.47,54.11,60.84,63.76,25.31,16.65,43.11,67.99
Iran,29.9,49.67,52.62,70.99,24.03,20.05,46.92,75.24
Iraq,55.15,57.47,45.9,46.98,26.81,8.17,37.05,71.53
Ireland,112.53,52.53,51.38,87.83,60.85,6.58,37.76,34.79
Isle Of Man,140.64,79.57,72.61,0,62.41,3.63,11.25,18.12
Israel,108.83,68.25,73.34,93.78,63.19,13.98,36.61,56.84
Italy,87.2,53.03,65.13,90.78,52.12,9.47,32.36,53.67
Ivory Coast,12.91,43.57,44.44,0,39.62,41.78,43.5,94.87
Jamaica,36.87,32.61,51.52,71.58,49.56,20.19,44.5,66.31
Japan,120.74,77.07,79.81,85.26,46.99,12.29,40.33,38.55
Jersey,104.07,74.32,53.94,0,77.04,13.33,27,26.72
Jordan,52.44,59.78,65.23,89.05,37.64,6.77,39.38,77.1
Kazakhstan,51.89,54.62,60.65,39.78,28.08,10.27,35.62,73.16
Kenya,35.6,44.24,61.54,99.79,28.23,18.77,50.59,69.04
Kiribati,281.83,81.86,55.56,0,55.26,0,47.9,106.9
Kosovo (Disputed Territory),53,59.2,68.47,76.84,26.04,13.85,24.06,67.84
Kuwait,176.8,67.19,57.93,20.22,40.82,6.69,35.32,69.37
Kyrgyzstan,35.11,46.17,57.62,58.11,25.72,12.89,37.7,70.38
Laos,32.51,63.72,34.44,0,32.57,12.67,22.4,78.51
Latvia,76.15,62.8,62.4,74.7,44.96,8.38,28.7,30.4
Lebanon,34.84,53.16,63.69,94.74,38.99,16.26,38.75,89.41
Lesotho,0,32.75,55.56,0,0,3.11,51,58.62
Liberia,33.34,19.13,38.89,0,64.1,25.57,30,91.76
Libya,50.47,44.23,45.45,96.54,18.72,7.62,27.36,53.02
Liechtenstein,178.83,87.84,70.37,0,94.03,5.07,0,6.47
Lithuania,80.43,67.72,74.95,67.76,44.73,12.25,23.36,26.14
Luxembourg,195.55,64.68,75.24,82.62,63.72,8.48,27.04,23.27
Macao (China),106.51,79.52,51,81.7,57.26,21.1,16.73,67.58
Madagascar,16.75,35.59,39.32,0,21.27,22.4,31.75,86.87
Malawi,29.25,43.89,37.5,0,35.35,81.6,20.34,64.16
Malaysia,86.32,51.03,70.37,56.55,29.82,8.5,37.17,61.14
Maldives,52.96,45.91,45.94,0,45.85,11.61,19.4,74.55
Mali,0,52.92,18.52,0,0,100.71,0,85.52
Malta,78.04,57.09,52.12,97.44,48.99,11.14,28.33,75.5
Marshall Islands,0,72.55,0,0,0,0,0,85.63
Martinique,94.35,37.14,75,0,60.67,6.62,0,62.59
Mauritania,56,61.51,46.76,0,41.43,14.99,0,78.97
Mauritius,49.7,52.71,65.18,0,34.6,8.59,51.17,54.8
Mexico,48.48,46.47,72.39,87.51,35,11.61,39.29,58.46
Micronesia,14.28,55.87,53.47,0,56.24,14.77,17.17,71.26
Moldova,47.77,55.52,52.12,76.91,31.44,12.92,27.75,61.33
Monaco,88.24,76.38,75,0,137.37,39.84,22.5,78.2
Mongolia,31.73,47.53,51.63,-3.54,30.68,16.08,31.42,87.82
Montenegro,57.92,64.59,41.05,89.02,37.37,12.92,16.89,43.7
Montserrat,0,93.38,0,0,0,0,0,0
Morocco,42.23,52.34,46.87,86.09,27.76,13.42,35.16,68.66
Mozambique,18.54,38.05,41.15,0,39.14,50.55,30,71.57
Myanmar,19.87,49.14,48.6,0,35.88,17.19,49.09,89.79
Namibia,68.25,36.45,65.07,0,30.18,3.55,26.18,40.72
Nauru,0,49.05,0,0,0,0,0,101.72
Nepal,28.36,63.5,57.7,92.64,23.48,33.09,33.45,83.87
Netherlands,134.19,73.36,79.47,87.42,61.41,7.63,23.14,21.14
New Caledonia,99.69,36.91,54.17,0,73.43,8.43,32.5,59.31
New Zealand,123.9,51.87,68.61,95.46,59.36,8.63,32.56,26
Nicaragua,25.14,49.25,61.57,0,31.13,18.98,53.83,60.78
Niger,7.04,33.38,30.56,0,132.99,"'2,746.00'",20,63.79
Nigeria,11.37,33.51,48.17,60.75,27.29,25.59,65.31,87.91
Niue,0,0,0,0,0,0,0,46.55
North Korea,18.89,46.53,34.13,0,33.59,30.31,16.65,72.41
North Macedonia,59.26,59.17,55.12,76.3,30.57,12.24,24.91,79.59
Northern Mariana Islands,0,64.03,44.44,0,0,36.43,0,33.33
Norway,122.3,67.05,75.65,68.5,71.27,8.38,26.67,18.32
Oman,160.38,81.94,65.11,67.22,39.3,2.81,20.54,34.71
Pakistan,30.57,56.31,59.38,71.93,17.9,14.3,38.01,73.31
Palau,0,73.24,0,0,0,23.2,0,14.37
Palestine,49.62,57.24,52.36,0,38.29,6.71,48.5,65.03
Panama,44.91,57.32,60.66,67.84,43.83,11.68,35.24,55.63
Papua New Guinea,13.71,19.89,23.86,0,69.3,450.4,44.56,78.81
Paraguay,41.24,39.84,64.52,92.24,23.19,15.68,42.83,66.16
Peru,39.16,32.77,56.28,97.69,29.43,18.58,49.78,82.19
Philippines,37.95,56.92,67.2,61.23,28.77,22.2,41.29,72.38
Poland,93.75,70.99,57.92,75.9,39.35,11.03,31.79,55.51
Portugal,62.54,68.17,72.42,97.31,41.72,13.97,28.65,28.8
Puerto Rico,112.17,38.52,58.5,0,59.23,4.21,33.69,47.86
Qatar,184.27,84.05,73.45,36.03,48.27,5.06,29.01,60
Republic of the Congo,20.45,45.71,68.52,0,54.46,35.01,0,77.59
Reunion,96.1,53.09,71.3,0,52.71,7.95,0,32.67
Romania,73.36,67.82,56.51,77,34.66,10.16,33.36,58.61
Russia,55.66,61.3,61.41,43.6,25.25,14.84,43.35,59.13
Rwanda,20.5,72.81,72.87,99.74,37.05,446.83,15.67,39.22
Saint Helena,0,92.65,69.44,0,0,0,15,15.52
Saint Kitts And Nevis,0,59.98,50,0,0,20.27,15,36.21
Saint Lucia,0,39.08,49.9,0,0,0.85,7,46.22
Saint Vincent And The Grenadines,46.16,62.22,31.94,0,60.33,4.66,10,0
Saint-Pierre And Miquelon,0,100,0,0,0,0,0,55.17
Samoa,0,57.94,55.56,0,0,205.03,0,39.94
San Marino,0,80.65,83.33,0,0,5.34,10,15.36
Sao Tome And Principe,0,82.56,86.11,0,0,0,0,68.97
Saudi Arabia,147.37,76.23,61.71,45.98,42.06,3.09,29.87,62.46
Senegal,21.72,49.82,48.38,0,40.61,24.07,25,95.87
Serbia,58.05,62.75,51.96,83.23,36.18,16.78,30.72,65.62
Seychelles,34.19,55.01,63.19,0,59.88,4.66,29.33,36.71
Sierra Leone,0,42.9,31.25,0,0,3.23,0,106.03
Singapore,108.8,72.48,71.9,57.45,79.72,20.4,40.87,32.61
Sint Maarten,46.37,68.09,56.48,0,65.56,6.92,0,79.48
Slovakia,75.25,69.2,58.6,80.72,43.24,14.2,27.41,37.3
Slovenia,85.89,76.17,66.26,76.11,47.58,13.09,25.39,22.25
Solomon Islands,10.77,36.13,45.14,0,101.05,"'1,004.18'",36.67,79.55
Somalia,28.41,35.86,40.49,0,40.56,360.1,29,63.41
South Africa,123.08,25.36,63.83,95.25,31.3,3.21,38.61,56.56
South Korea,107.47,75.36,82.78,68.39,59.94,21.06,40.32,60.93
South Sudan,0,18.57,23.61,0,0,2.08,0,56.47
Spain,101.41,63.51,77.26,94.04,44.41,8.28,26.76,35.7
Sri Lanka,17.98,57.9,71.36,59.11,33.96,39.94,54.52,57.94
Sudan,0,54.5,46.78,0,0,24.64,38.33,67.55
Suriname,19.73,47.12,42.62,0,39.75,3.18,28.88,51.15
Sweden,134.51,51.74,68.43,76.49,54.84,7.45,28.72,17.66
Switzerland,165.31,73.69,71.5,79.24,101.18,10.94,33.28,23.06
Syria,5.22,31.5,37.11,0,23.8,118.65,34.9,74.88
Taiwan,101.65,82.89,86.5,84.38,44.79,20.89,32.81,64.31
Tajikistan,23.92,55.6,61.9,0,24.6,16.11,27,54.02
Tanzania,23.52,46.46,42.14,71.28,25.31,134.04,27.79,62.48
Thailand,46.07,62.49,77.36,69.76,33.88,25.31,38.71,75.65
Timor-Leste,259.09,57.93,52.69,0,45.57,4.13,25,60.35
Togo,50.92,54.84,54.17,0,31.91,7.42,7,82.5
Tonga,0,39.02,62.27,0,50.8,2.44,0,0
Trinidad And Tobago,45.35,29.01,54.09,67.55,49.01,14.18,56.88,67.14
Tunisia,33.55,55.23,57.17,93.24,25.71,13.06,34.39,70.08
Turkey,52.08,58.74,71.22,93.26,35.37,11.05,43.81,64.29
Turkmenistan,0,51.24,49.83,0,0,25.99,17.29,38.15
Turks And Caicos Islands,0,51.12,54.63,0,0,0,0,32.76
Tuvalu,0,81.52,100,0,0,0.55,0,0
Uganda,10.33,45.88,50.05,98.41,47.97,"'1,075.92'",44.5,84.05
Ukraine,47.67,53.13,55.74,70.69,24.38,13.88,37.92,62.16
United Arab Emirates,132.31,84.43,70.63,45.84,53.8,6.77,35.77,47.98
United Kingdom,125.05,51.88,72.92,87.41,59.67,8.75,34.74,40.47
United States,153.02,50.74,67.86,79.14,65.69,3.54,32.91,36.61
Uruguay,57.92,48.2,68.57,98.04,47.39,12.28,39.52,43.49
Us Virgin Islands,74.23,40.06,45.37,0,99.27,11.78,15,15.27
Uzbekistan,44.66,71.97,61.82,69.79,24.4,13.08,34.3,53.07
Vanuatu,0,58.35,40.51,0,0,29.88,15,40.14
Vatican City,0,46.18,100,0,0,0,0,46.32
Venezuela,15.11,19.26,38.69,0,35.85,17.49,32.8,75.3
Vietnam,44.49,59,61.32,71.24,26.85,24.77,29.62,84.19
Wallis And Futuna,0,0,0,0,0,0,0,0
Western Sahara,0,62.87,0,0,0,12.75,0,0
Yemen,20.74,34.07,25.31,0,48.66,15.98,15,83.17
Zambia,22.32,54.39,54.44,0,36.74,72.42,38.86,80.9
Zimbabwe,28.76,39.31,44.8,96.76,35.36,17.35,27.79,78.53
